"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 21:56:08 GMT 2023","Fri Jul 28 21:56:15 GMT 2023","6598","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testFilterSearch_VideoPage","testFilterSearch_VideoPage",""
"passed","Fri Jul 28 21:56:21 GMT 2023","Fri Jul 28 21:56:31 GMT 2023","10644","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideoFromSideList","testPlayVideoFromSideList",""
"passed","Fri Jul 28 21:56:15 GMT 2023","Fri Jul 28 21:56:20 GMT 2023","5144","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testImageProxy_VideoPage","testImageProxy_VideoPage",""
"passed","Fri Jul 28 21:57:28 GMT 2023","Fri Jul 28 21:57:34 GMT 2023","6180","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo","testVideoResultsEqualsSearchCriteriaWhenWatchingVideo",""
"passed","Fri Jul 28 21:56:32 GMT 2023","Fri Jul 28 21:56:41 GMT 2023","9733","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testPlayVideo_VideoPage","testPlayVideo_VideoPage",""
"failed","Fri Jul 28 21:56:47 GMT 2023","Fri Jul 28 21:56:58 GMT 2023","11038","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToMaxPage_VideoPage","testScrollToMaxPage_VideoPage",""
"passed","Fri Jul 28 21:57:15 GMT 2023","Fri Jul 28 21:57:21 GMT 2023","5630","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testSuggestEqualsSearchCriteria_VideoSearch","testSuggestEqualsSearchCriteria_VideoSearch",""
"passed","Fri Jul 28 21:55:49 GMT 2023","Fri Jul 28 21:55:55 GMT 2023","6760","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCancelFilterSearch_VideoPage","testCancelFilterSearch_VideoPage",""
"passed","Fri Jul 28 21:56:59 GMT 2023","Fri Jul 28 21:57:07 GMT 2023","8109","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPageWhenWatchingVideo_VideoPage","testScrollToNextPageWhenWatchingVideo_VideoPage",""
"broken","Fri Jul 28 21:57:45 GMT 2023","Fri Jul 28 21:58:34 GMT 2023","48284","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testRegularBotAndError429Page","testRegularBotAndError429Page",""
"passed","Fri Jul 28 21:57:07 GMT 2023","Fri Jul 28 21:57:15 GMT 2023","7144","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToNextPage_VideoPage","testScrollToNextPage_VideoPage",""
"passed","Fri Jul 28 21:57:21 GMT 2023","Fri Jul 28 21:57:27 GMT 2023","6353","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testVideoResultsEqualsSearchCriteria","testVideoResultsEqualsSearchCriteria",""
"passed","Fri Jul 28 21:57:34 GMT 2023","Fri Jul 28 21:57:45 GMT 2023","10862","Parallel Test Suite","Autobahn test","tests.AutobahnTest","tests.AutobahnTest","testBrazilianBotsAndError429Page","testBrazilianBotsAndError429Page",""
"passed","Fri Jul 28 21:55:56 GMT 2023","Fri Jul 28 21:56:08 GMT 2023","12041","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testCheckboxNoRemindMe_VideoPage","testCheckboxNoRemindMe_VideoPage",""
"passed","Fri Jul 28 21:56:42 GMT 2023","Fri Jul 28 21:56:47 GMT 2023","4974","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testRegionalSearch_VideoPage","testRegionalSearch_VideoPage",""
